case,event,startTime,completeTime,Variant,elementId,resourceId,Variant index,resourceCost,processId,Start Timestamp,fixedCost,Resource
25,END,12/9/2025 10:00,12/9/2025 10:00,Variant 1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
26,START,12/9/2025 10:00,12/9/2025 10:00,Variant 1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
26,END,12/9/2025 10:00,12/9/2025 10:00,Variant 1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
27,START,12/9/2025 10:00,12/9/2025 10:00,Variant 1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
27,END,12/9/2025 10:00,12/9/2025 10:00,Variant 1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
28,START,12/9/2025 10:00,12/9/2025 10:00,Variant 1,sid-7E063660-AF89-4E86-906B-E703580F1C75,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
28,END,12/9/2025 10:00,12/9/2025 10:00,Variant 1,sid-B3145B77-A916-4A27-82D5-3A1E113A7FC9,,1,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
29,START,12/9/2025 10:00,12/9/2025 10:00,Variant 5,sid-7E063660-AF89-4E86-906B-E703580F1C75,,5,,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,,
29,EVALUATE CLASSIFIER,12/9/2025 10:00,12/9/2025 10:00,Variant 5,sid-3F9FCBD8-DDC3-4B0E-83B6-1C5C1C3EAA41,QBP_DEFAULT_RESOURCE,5,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000001
29,CONFIGURE INGESTION SYSTEM,12/9/2025 10:00,12/9/2025 10:00,Variant 5,sid-52FE4380-2098-41C0-BE60-F2DEACC760F5,QBP_DEFAULT_RESOURCE,5,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000004
29,CONFIGURE PREPARATION SYSTEM,12/9/2025 10:00,12/9/2025 10:00,Variant 5,sid-C6B14BB8-F42E-43E5-9A7E-0AA34AA52EE6,QBP_DEFAULT_RESOURCE,5,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000007
29,CONFIGURE SEGREGATION SYSTEM,12/9/2025 10:00,12/9/2025 10:00,Variant 5,sid-1C9C5582-B583-4832-8DEA-4BDBB1AF9F15,QBP_DEFAULT_RESOURCE,5,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000008
29,CONFIGURE DEVELOPMENT SYSTEM,12/9/2025 10:00,12/9/2025 10:00,Variant 5,sid-AB394422-8628-4377-B7B8-A25A46935C63,QBP_DEFAULT_RESOURCE,5,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000010
29,CONFIGURE CLASSIFICATION SYSTEM,12/9/2025 10:00,12/9/2025 10:00,Variant 5,sid-50D70578-9920-4164-BA4D-ED2DFBC6DFC4,QBP_DEFAULT_RESOURCE,5,0,sid-e383f3a2-1ab6-4a0e-9b02-73baee020cf0,12/9/2025 10:00,1,Session-000002
